,AAL,ABF,ADM,AHT,ANTO,AUTO,AV,AVV,AZN,BA,BARC,BATS,BDEV,BHP,BKG,BLND,BNZL,BP,BRBY,BTA,CCH,CCL,CNA,CPG,CRDA,CRH,DCC,DGE,DLG,EVR,EXPN,FERG,FLTR,FRES,GLEN,GSK,HL,HLMA,HSBA,HSX,IAG,IHG,III,IMB,INF,ITRK,ITV,JD,JE,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MKS,MNDI,MRO,MRW,NG,NMC,NXT,OCDO,PHNX,PRU,PSN,PSON,RB,RBS,RDSA,RDSB,REL,RIO,RMV,RR,RSA,RTO,SBRY,SDR,SGE,SGRO,SLA,SMDS,SMIN,SN,SPX,SSE,STAN,STJ,SVT,TSCO,TUI,TW,ULVR,UU,VOD,WPP,WTB
1997-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-31,,0.145,,,,,,,,,,,,,,0.106,,,,,,,,,,,0.171,,,,,,,,,,,0.033,,,,,0.063,0.171,,,,,,0.13,0.251,0.203,,,,,0.166,,,0.038,0.17,,,,,,,,,0.893,,,,,,,,,0.104,,0.015,,,,0.197,,,,,,0.675,0.069,,,,0.42,,,0.384
1998-06-30,,,,0.046,0.044,,0.629,,,0.287,0.131,,0.112,0.102,0.34,,0.116,,,,,,0.012,,0.007,0.175,,,,,,,,,,,,,0.26,0.047,,,,,,,,,,,,,0.005,0.085,,,,,,,,,,,,0.185,0.118,0.43,,,,,,0.326,,0.072,,0.056,,,,0.148,,0.024,,0.074,0.066,,0.213,0.057,,,,0.063,,,,0.084,
1998-09-30,,0.151,,,,,,,,,,,,,,0.067,,,,,,,,,,,,,,,,1.163,,,,,,,,,,,0.088,0.218,,,,,,0.259,0.148,0.2,,,,,0.056,,,,0.118,,0.1,,,,,,,1.156,,,,,,,,,0.157,,0.015,,,,0.28,,,,,,0.675,0.035,,,,0.409,,,0.415
1998-12-31,,,,0.055,0.015,,-0.25,,,0.097,0.065,,0.08,0.073,0.29,,0.09,,,,,,,,0.011,0.477,,0.185,,,,,,,,,,0.037,0.207,0.062,,,,,,,,,,,,,0.076,0.11,,,,,,,,,,,,,0.133,0.241,,,,,,,,0.1,,0.07,,,,0.177,,0.031,,0.067,0.148,,0.266,0.09,,,,0.068,,,,0.12,
1999-03-31,,0.058,,,,,,,,,,,,,,0.017,,,,,,,,,,,0.243,,,,,,,,,,,,,,,,0.056,0.22,,,,,,0.2,0.251,0.206,,,,,0.068,,,,0.574,,0.24,,,,,,,1.058,,,,,,,,,,,0.021,,,,0.22,,,,,,0.66,0.056,,,,0.45,0.053,,0.218
1999-06-30,0.39,,,0.058,0.016,,0.116,,0.47,0.045,0.104,0.181,0.138,0.098,0.325,,0.129,,,,,,0.04,,0.06,0.327,,0.082,,,,,,,,,,0.042,0.288,0.012,,,,,0.026,,,,,,,,0.048,0.12,,,,,,,,,,,,0.135,0.139,-0.059,,,,,,0.308,,0.082,0.528,0.062,0.157,,,0.204,,-0.017,,,0.153,,0.222,0.066,,,,0.062,,,,0.1,
1999-09-30,,0.15,,,,,,,,,,,,,,0.127,,,,,,,,,,,0.151,,,,,1.387,,,,,,,,,,,0.092,0.263,,,,0.005,,0.29,0.118,0.208,,,,,0.02,,,0.032,0.128,,0.135,,,,,,,1.393,,,,,,,,,,,0.022,,,,0.305,0.105,,0.175,,,0.677,0.041,,,,0.41,-0.008,,0.382
1999-12-31,0.71,,,0.066,0.001,,0.33,,0.175,0.113,0.16,0.072,0.099,0.109,0.329,,0.138,,,,,,0.003,,0.039,0.632,,0.13,,,,,,,,,,0.018,0.28,-0.015,,,,,0.042,,,,,,,,0.067,0.109,,,,,,,,,,,,,0.18,0.489,,,,,,0.465,,0.107,-0.311,0.07,0.109,,,0.274,,0.023,,0.049,0.208,,,0.234,,,,0.093,,,,0.13,
2000-03-31,,0.147,,,,,,,,,,,,,,0.079,,,,,,,,,,,0.715,,,,,,,,,,,,,,,,0.059,0.254,,,,0.004,,0.22,0.264,0.262,,,,,,,,0.043,0.666,,0.25,,,,,,,,,,,,,,,,,,0.03,,,,0.253,,,0.3,,,0.435,0.06,,,,0.42,0.103,,0.118
2000-06-30,0.85,,,0.053,0.073,,0.177,,0.87,0.023,0.2,0.124,0.184,0.152,0.454,,0.144,,,,,,0.08,,0.099,0.27,,0.158,,,,,,,,,,0.043,0.366,0.002,,,,,0.067,,,,,,,,0.036,0.133,,,0.066,,,,,,,,,0.236,0.19,0.127,,0.821,,,,0.41,,0.012,-0.195,0.054,0.074,,,0.191,,0.047,,,0.151,,,0.053,,,,0.125,,,,0.123,
2000-09-30,,0.028,,,,,,0.034,,,,,,,,0.096,,,,,,,,,,,0.171,,,,,1.056,,,,,,0.04,,,,,0.09,0.291,,,,0.007,,0.274,0.194,0.205,,,,,0.04,,,0.038,0.247,,0.167,,,,,,,,,,,,,,,,,,0.029,,,,0.341,0.199,,0.184,,,0.32,0.042,,,,0.467,-0.24,,0.264
2000-12-31,0.53,,,0.0,0.066,,-0.95,,0.57,-0.55,0.167,0.171,0.127,0.185,0.406,,0.161,,,,,,0.003,,0.151,0.76,,0.234,,,,,,,,,,,0.297,0.054,,,,,0.059,,,,,,,,0.026,0.112,,,,,,,,,,,,,0.22,0.104,,1.692,,,,0.494,,0.039,0.089,0.06,0.124,,,0.252,,0.046,,0.088,0.203,,0.467,0.08,,,,0.156,,,,0.17,
2001-03-31,,0.226,,,,,,0.039,,,,,,,,0.002,,,,,,,,0.025,,,0.315,,,,,0.359,,,,,,0.049,,,,,0.06,0.272,,,,0.005,,0.299,0.182,0.259,,,,,-0.042,,,0.055,0.214,,0.3,,,,,,,,,,,,,,,,0.021,,0.032,,,,0.077,,,0.292,,,0.299,0.064,,,,0.161,-0.241,,0.247
2001-06-30,1.89,,,0.007,0.029,,0.115,,0.83,0.004,0.176,0.196,0.234,,0.51,,0.161,,,,,,0.069,,0.113,0.248,,0.123,,,,,0.046,,,,,,0.331,0.009,,,,,0.062,,,,,,,,0.002,0.102,,,,,,,,,,,,0.187,0.207,-0.148,,1.147,,,,0.506,,0.054,-1.065,0.061,,0.105,,0.213,,0.037,,0.112,0.173,,0.28,0.083,,,,0.106,,,,0.153,
2001-09-30,,0.082,,,,,,0.016,,,,,,,,0.101,,,,,,,,0.041,,,0.209,,,,,1.673,,,,,,0.04,,,,,0.089,0.318,,,,0.008,,0.282,-0.414,0.24,,,0.071,,0.048,,,0.041,-0.086,,0.203,,,,,,,,,,,,,,,,,,0.034,,,,-0.45,,,0.199,,,0.276,0.047,,,,0.225,-0.428,,0.25
2001-12-31,0.41,,,-0.006,0.034,,-0.01,,0.82,-0.055,,0.249,0.156,0.187,0.485,,0.167,,,,,,0.011,,0.053,0.779,,0.241,,,,,0.053,,,,,,0.141,-0.213,,,,,-0.033,,,,,,,,-0.038,0.098,,,,,,,,,,,,,0.253,-0.383,,0.729,,,,0.144,,0.013,-1.731,0.072,0.092,-0.175,,-0.01,,0.044,,0.089,0.18,,0.298,-0.098,,,,0.087,,,,0.093,
2002-03-31,,0.166,,,,,,0.053,,,,,,,,0.154,,,,,,,,0.022,,,0.348,,,,,1.417,,,,,,0.046,,,,,0.047,0.307,,,-0.07,0.007,,0.208,0.186,0.28,,,0.087,,0.004,,,0.059,-0.245,,0.378,,,,,,,,,,,,,,,,0.099,,0.035,,,,0.132,,,0.304,,,0.413,0.074,,,,0.248,-0.279,,-0.56
2002-06-30,0.59,,,0.016,0.037,,0.013,,1.0,-0.024,0.166,0.229,0.294,0.076,0.568,,0.167,,,,,,0.083,,-0.038,0.243,,0.247,,,,,0.101,,,,,,0.305,0.02,,,,,0.046,0.164,,,,,,,-0.035,0.099,,,,,,,,,,,,0.204,0.276,-0.26,0.246,1.301,,,,0.292,,0.01,-0.87,0.07,,0.044,,0.189,,-0.012,,0.079,0.167,,0.177,-0.059,,,,0.096,2.836,,,0.103,
2002-09-30,,0.242,,,,,,0.017,,,,,,,,,,,0.032,,,,,0.078,,,0.223,,,,,1.788,,,,,,0.036,,,,,0.06,0.11,,,,0.006,,0.281,0.077,0.196,,,0.102,,0.08,,,0.046,-0.029,,0.255,,,,,,,,,,,,,,,,,,0.035,,,,0.201,,,0.208,,,0.147,0.054,,,,0.229,-0.186,,0.364
2002-12-31,0.63,,,-0.015,0.044,,-0.26,,0.64,-0.208,0.135,0.276,0.213,0.147,0.579,,0.181,,,,,,0.03,,0.034,0.836,,-0.146,,,,,0.096,,,,,,0.279,0.077,,,,,-0.001,0.119,,,,,,,0.0,0.06,,,,,,,,,,,,,0.355,0.121,0.334,0.611,,,,0.099,,0.023,-1.497,0.08,0.108,0.044,,0.189,,0.059,,0.104,0.186,,0.159,-0.045,,,,0.118,0.36,,,-0.024,
2003-03-31,,0.185,,,,,,0.06,,,,,,,,,,,0.073,,,,,0.025,,,0.401,,,,,1.563,,,,,,0.042,,,,,0.119,0.218,,,-0.015,0.002,,0.281,0.015,0.224,,,0.065,,0.129,,,0.072,0.159,,0.432,,,,,,,,,,,,,,,,0.13,,0.04,,,,0.204,,,0.312,,,0.287,0.082,,,,0.271,-0.225,,0.345
2003-06-30,0.59,,,-0.08,0.042,,0.218,,0.93,-0.019,0.192,0.119,0.371,0.159,0.581,,0.163,,,,,,0.091,,0.102,0.201,,0.165,,,,,0.09,,,0.431,,,0.357,0.119,,0.129,,,0.027,0.17,,,,,,,0.029,0.103,,,,,,,,,,,,0.07,0.357,-0.201,0.281,1.675,,,,0.384,,0.021,0.284,0.079,,0.076,,0.199,,0.028,,0.116,0.172,,0.31,-0.002,,,,0.114,3.295,,,0.086,
2003-09-30,,0.236,,,,,,0.019,,,,,,,,0.128,,,0.085,,,,,0.058,,,0.219,,,,,2.051,,,,,,,,,,,0.081,0.287,,,,-0.003,,0.278,-0.023,0.254,,,0.105,,0.098,,,0.05,0.129,,0.325,,,,,,,,,,,,,,,,,,0.042,,,,-0.004,,,0.203,,,0.467,0.06,,,,0.285,-0.162,,0.472
2003-12-31,0.65,,,-0.031,0.116,,0.2,,0.85,0.014,0.188,0.15,0.286,0.215,0.645,,0.189,,,,,,0.026,,0.128,0.902,,0.293,,,,,0.167,,,,,0.04,0.375,0.213,,-0.087,,,0.014,0.143,,,,,,,0.033,0.187,,,,,,,,,,,,,0.473,0.27,0.411,0.472,,,,0.52,,0.049,-1.154,0.08,0.108,0.091,,0.146,,0.05,,0.144,0.213,,0.348,0.017,,,,0.161,0.522,,,0.101,
2004-03-31,,0.198,,,,,,0.06,,,,,,,,0.173,,,0.103,,,,,0.025,,,0.488,,,,,2.027,,,,,,,,,,,0.06,0.227,,,,0.004,,0.282,0.124,0.306,,,0.095,,,,,0.076,0.23,,0.604,,,,,,,,,,,,,,,,0.099,,0.047,,,,0.125,,,0.32,,,0.336,0.092,,,,0.26,-0.186,,0.292
2004-06-30,1.71,,0.147,-0.068,0.21,,0.095,,0.95,0.023,0.252,0.34,0.445,0.543,0.659,,0.134,,,,,,0.09,,0.119,0.433,,0.166,,,,,0.224,,,0.369,,0.021,0.558,0.264,,0.723,,,0.054,0.163,0.008,,,,,,1.05,0.097,,,0.134,,-0.002,,,,,,,0.108,0.535,-0.025,0.326,2.225,,,,0.595,,0.064,0.093,0.061,,0.195,,0.503,,0.048,,,0.197,,0.499,0.01,,,,0.161,0.409,,,0.082,
2004-09-30,,0.231,,,,,,2.983,,,,,,,,0.109,,,0.11,0.086,,,,0.058,,,0.283,,,,,3.295,,,,,,,,,,,0.289,0.307,,,,-0.004,,0.258,0.084,0.264,,,0.118,,,,,0.027,0.168,,0.444,,,,,,,,,,,,,,,,,,0.052,,,,0.255,0.173,,0.23,,,0.377,0.071,,,,0.179,0.148,,0.307
2004-12-31,0.97,,0.203,0.026,0.377,,0.458,,1.23,-0.029,0.207,0.994,0.316,0.454,0.658,,0.221,,,,,,0.257,,0.12,1.048,,0.322,,,,,0.159,,,0.312,,0.046,0.471,0.126,,0.174,,,0.123,0.174,0.027,,,,,,0.033,0.115,,0.083,0.055,,,,,,,,,0.132,0.6,0.354,0.479,2.169,,,,1.009,,0.091,-0.291,0.045,0.019,0.34,,1.013,,0.047,,0.096,0.234,,0.542,0.081,,,,0.212,0.231,,,0.158,
2005-03-31,,0.251,,,,,,0.055,,,,,,,,0.984,,,0.116,0.129,,,,0.072,,,0.468,,,,,2.955,,,,,,,,,,,0.357,0.419,,,,0.005,,0.274,0.09,1.794,,,0.105,,,,,0.016,0.305,,0.758,,,,,,,,,,,,,,,,0.023,,0.051,,,,0.212,,,0.423,,,0.309,0.104,,,,0.154,0.113,,0.47
