,AAL LN equity,AAL LN equity,AAL LN equity,AAL LN equity,AAL LN equity,ABF LN equity,ABF LN equity,ABF LN equity,ABF LN equity,ABF LN equity,ADM LN equity,ADM LN equity,ADM LN equity,ADM LN equity,ADM LN equity,AHT LN equity,AHT LN equity,AHT LN equity,AHT LN equity,AHT LN equity,ANTO LN equity,ANTO LN equity,ANTO LN equity,ANTO LN equity,ANTO LN equity,AUTO LN equity,AUTO LN equity,AUTO LN equity,AUTO LN equity,AUTO LN equity,AV LN equity,AV LN equity,AV LN equity,AV LN equity,AV LN equity,AVV LN equity,AVV LN equity,AVV LN equity,AVV LN equity,AVV LN equity,AZN LN equity,AZN LN equity,AZN LN equity,AZN LN equity,AZN LN equity,BA LN equity,BA LN equity,BA LN equity,BA LN equity,BA LN equity,BARC LN equity,BARC LN equity,BARC LN equity,BARC LN equity,BARC LN equity,BATS LN equity,BATS LN equity,BATS LN equity,BATS LN equity,BATS LN equity,BDEV LN equity,BDEV LN equity,BDEV LN equity,BDEV LN equity,BDEV LN equity,BHP LN equity,BHP LN equity,BHP LN equity,BHP LN equity,BHP LN equity,BKG LN equity,BKG LN equity,BKG LN equity,BKG LN equity,BKG LN equity,BLND LN equity,BLND LN equity,BLND LN equity,BLND LN equity,BLND LN equity,BNZL LN equity,BNZL LN equity,BNZL LN equity,BNZL LN equity,BNZL LN equity,BP LN equity,BP LN equity,BP LN equity,BP LN equity,BP LN equity,BRBY LN equity,BRBY LN equity,BRBY LN equity,BRBY LN equity,BRBY LN equity,BTA LN equity,BTA LN equity,BTA LN equity,BTA LN equity,BTA LN equity,CCH LN equity,CCH LN equity,CCH LN equity,CCH LN equity,CCH LN equity,CCL LN equity,CCL LN equity,CCL LN equity,CCL LN equity,CCL LN equity,CNA LN equity,CNA LN equity,CNA LN equity,CNA LN equity,CNA LN equity,CPG LN equity,CPG LN equity,CPG LN equity,CPG LN equity,CPG LN equity,CRDA LN equity,CRDA LN equity,CRDA LN equity,CRDA LN equity,CRDA LN equity,CRH LN equity,CRH LN equity,CRH LN equity,CRH LN equity,CRH LN equity,DCC LN equity,DCC LN equity,DCC LN equity,DCC LN equity,DCC LN equity,DGE LN equity,DGE LN equity,DGE LN equity,DGE LN equity,DGE LN equity,DLG LN equity,DLG LN equity,DLG LN equity,DLG LN equity,DLG LN equity,EVR LN equity,EVR LN equity,EVR LN equity,EVR LN equity,EVR LN equity,EXPN LN equity,EXPN LN equity,EXPN LN equity,EXPN LN equity,EXPN LN equity,FERG LN equity,FERG LN equity,FERG LN equity,FERG LN equity,FERG LN equity,FLTR LN equity,FLTR LN equity,FLTR LN equity,FLTR LN equity,FLTR LN equity,FRES LN equity,FRES LN equity,FRES LN equity,FRES LN equity,FRES LN equity,GLEN LN equity,GLEN LN equity,GLEN LN equity,GLEN LN equity,GLEN LN equity,GSK LN equity,GSK LN equity,GSK LN equity,GSK LN equity,GSK LN equity,HL LN equity,HL LN equity,HL LN equity,HL LN equity,HL LN equity,HLMA LN equity,HLMA LN equity,HLMA LN equity,HLMA LN equity,HLMA LN equity,HSBA LN equity,HSBA LN equity,HSBA LN equity,HSBA LN equity,HSBA LN equity,HSX LN equity,HSX LN equity,HSX LN equity,HSX LN equity,HSX LN equity,IAG LN equity,IAG LN equity,IAG LN equity,IAG LN equity,IAG LN equity,IHG LN equity,IHG LN equity,IHG LN equity,IHG LN equity,IHG LN equity,III LN equity,III LN equity,III LN equity,III LN equity,III LN equity,IMB LN equity,IMB LN equity,IMB LN equity,IMB LN equity,IMB LN equity,INF LN equity,INF LN equity,INF LN equity,INF LN equity,INF LN equity,ITRK LN equity,ITRK LN equity,ITRK LN equity,ITRK LN equity,ITRK LN equity,ITV LN equity,ITV LN equity,ITV LN equity,ITV LN equity,ITV LN equity,JD LN equity,JD LN equity,JD LN equity,JD LN equity,JD LN equity,JE LN equity,JE LN equity,JE LN equity,JE LN equity,JE LN equity,JMAT LN equity,JMAT LN equity,JMAT LN equity,JMAT LN equity,JMAT LN equity,KGF LN equity,KGF LN equity,KGF LN equity,KGF LN equity,KGF LN equity,LAND LN equity,LAND LN equity,LAND LN equity,LAND LN equity,LAND LN equity,LGEN LN equity,LGEN LN equity,LGEN LN equity,LGEN LN equity,LGEN LN equity,LLOY LN equity,LLOY LN equity,LLOY LN equity,LLOY LN equity,LLOY LN equity,LSE LN equity,LSE LN equity,LSE LN equity,LSE LN equity,LSE LN equity,MCRO LN equity,MCRO LN equity,MCRO LN equity,MCRO LN equity,MCRO LN equity,MKS LN equity,MKS LN equity,MKS LN equity,MKS LN equity,MKS LN equity,MNDI LN equity,MNDI LN equity,MNDI LN equity,MNDI LN equity,MNDI LN equity,MRO LN equity,MRO LN equity,MRO LN equity,MRO LN equity,MRO LN equity,MRW LN equity,MRW LN equity,MRW LN equity,MRW LN equity,MRW LN equity,NG LN equity,NG LN equity,NG LN equity,NG LN equity,NG LN equity,NMC LN equity,NMC LN equity,NMC LN equity,NMC LN equity,NMC LN equity,NXT LN equity,NXT LN equity,NXT LN equity,NXT LN equity,NXT LN equity,OCDO LN equity,OCDO LN equity,OCDO LN equity,OCDO LN equity,OCDO LN equity,PHNX LN equity,PHNX LN equity,PHNX LN equity,PHNX LN equity,PHNX LN equity,PRU LN equity,PRU LN equity,PRU LN equity,PRU LN equity,PRU LN equity,PSN LN equity,PSN LN equity,PSN LN equity,PSN LN equity,PSN LN equity,PSON LN equity,PSON LN equity,PSON LN equity,PSON LN equity,PSON LN equity,RB LN equity,RB LN equity,RB LN equity,RB LN equity,RB LN equity,RBS LN equity,RBS LN equity,RBS LN equity,RBS LN equity,RBS LN equity,RDSA LN equity,RDSA LN equity,RDSA LN equity,RDSA LN equity,RDSA LN equity,RDSB LN equity,RDSB LN equity,RDSB LN equity,RDSB LN equity,RDSB LN equity,REL LN equity,REL LN equity,REL LN equity,REL LN equity,REL LN equity,RIO LN equity,RIO LN equity,RIO LN equity,RIO LN equity,RIO LN equity,RMV LN equity,RMV LN equity,RMV LN equity,RMV LN equity,RMV LN equity,RR LN equity,RR LN equity,RR LN equity,RR LN equity,RR LN equity,RSA LN equity,RSA LN equity,RSA LN equity,RSA LN equity,RSA LN equity,RTO LN equity,RTO LN equity,RTO LN equity,RTO LN equity,RTO LN equity,SBRY LN equity,SBRY LN equity,SBRY LN equity,SBRY LN equity,SBRY LN equity,SDR LN equity,SDR LN equity,SDR LN equity,SDR LN equity,SDR LN equity,SGE LN equity,SGE LN equity,SGE LN equity,SGE LN equity,SGE LN equity,SGRO LN equity,SGRO LN equity,SGRO LN equity,SGRO LN equity,SGRO LN equity,SLA LN equity,SLA LN equity,SLA LN equity,SLA LN equity,SLA LN equity,SMDS LN equity,SMDS LN equity,SMDS LN equity,SMDS LN equity,SMDS LN equity,SMIN LN equity,SMIN LN equity,SMIN LN equity,SMIN LN equity,SMIN LN equity,SN LN equity,SN LN equity,SN LN equity,SN LN equity,SN LN equity,SPX LN equity,SPX LN equity,SPX LN equity,SPX LN equity,SPX LN equity,SSE LN equity,SSE LN equity,SSE LN equity,SSE LN equity,SSE LN equity,STAN LN equity,STAN LN equity,STAN LN equity,STAN LN equity,STAN LN equity,STJ LN equity,STJ LN equity,STJ LN equity,STJ LN equity,STJ LN equity,SVT LN equity,SVT LN equity,SVT LN equity,SVT LN equity,SVT LN equity,TSCO LN equity,TSCO LN equity,TSCO LN equity,TSCO LN equity,TSCO LN equity,TUI LN equity,TUI LN equity,TUI LN equity,TUI LN equity,TUI LN equity,TW LN equity,TW LN equity,TW LN equity,TW LN equity,TW LN equity,ULVR LN equity,ULVR LN equity,ULVR LN equity,ULVR LN equity,ULVR LN equity,UU LN equity,UU LN equity,UU LN equity,UU LN equity,UU LN equity,VOD LN equity,VOD LN equity,VOD LN equity,VOD LN equity,VOD LN equity,WPP LN equity,WPP LN equity,WPP LN equity,WPP LN equity,WPP LN equity,WTB LN equity,WTB LN equity,WTB LN equity,WTB LN equity,WTB LN equity
,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date,Period,EPS,EPS_adj,Date,Annouc_date
1,30/06/1999,0.39,0.32,19990908,19990908,28/02/1998,0.145,0.145,19980414,19980414,30/06/2004,0.147,0,20050906,20050906,30/04/1998,0.046,#N/A N/A,19980713,19980713,30/06/1998,0.044,0.045,19980924,19980924,27/09/2014,0.01,#N/A N/A,20151113,20151113,30/06/1998,0.629,0,19980812,19980812,30/09/2000,0.034,0.034,20001107,20001107,30/06/1999,0.47,#N/A N/A,19990803,19990803,30/06/1998,0.287,0.142,19980917,19980917,30/06/1998,0.131,0,19980806,19980806,30/06/1999,0.181,#N/A N/A,19990803,19990803,30/06/1998,0.112,#N/A N/A,19980923,19980923,30/06/1998,0.102,#N/A N/A,19980907,19980907,30/04/1998,0.34,#N/A N/A,19980707,19980707,31/03/1998,0.106,#N/A N/A,19980608,19980608,30/06/1998,0.116,0,19980901,19980901,31/12/2009,0.514,0.507,20100202,20100202,30/09/2002,0.032,0.064,20021119,20021119,30/09/2001,#N/A N/A,#N/A N/A,20011108,20011108,29/06/2012,0.24,#N/A N/A,20120808,20120808,31/05/2009,0.67,0.67,20100622,20100622,30/06/1998,0.012,0.02,19980910,19980910,31/03/2001,0.025,0.047,20010522,20010522,30/06/1998,0.007,0.089,19980804,19980804,30/06/1998,0.175,0.175,19980901,19980901,31/03/1998,0.171,#N/A N/A,19980511,19980511,31/12/1998,0.185,0.205,19990311,19990311,30/06/2011,0.095,#N/A N/A,20121001,20121001,30/06/2010,#N/A N/A,#N/A N/A,20111107,20111107,30/09/2005,0.308,0,20061121,20061121,31/01/1998,#N/A N/A,1.052,19980317,19980317,30/06/2001,0.046,0.046,20010724,20010724,30/06/2008,0.215,0.215,20080819,20080819,30/06/2007,#N/A N/A,#N/A N/A,20100127,20100127,30/06/2002,#N/A N/A,#N/A N/A,20020724,20020724,31/12/2005,0.018,#N/A N/A,20060903,20060903,28/03/1998,0.033,#N/A N/A,19980623,19980623,30/06/1998,0.26,0,19980803,19980803,30/06/1998,0.047,0,19980909,19980909,31/12/2009,#N/A N/A,#N/A N/A,20110225,20110225,30/06/2003,0.129,0.129,20030912,20030912,31/03/1998,0.063,0,19980604,19980604,28/03/1998,0.171,0.171,19980519,19980519,30/06/1999,0.026,0.058,19990824,19990824,30/06/2002,0.164,0.129,20020902,20020902,31/03/2002,-0.07,#N/A N/A,20020530,20020530,30/09/1999,0.005,0,19991207,19991207,30/06/2014,0.012,0.021,20140812,20140812,31/03/1998,0.13,#N/A N/A,19980611,19980611,31/01/1998,0.251,#N/A N/A,19980318,19980318,31/03/1998,0.203,#N/A N/A,19980929,19980929,30/06/1998,0.005,0,19980723,19980723,30/06/1998,0.085,0,19980731,19980731,30/09/2001,0.071,0.083,20011106,20011106,31/10/2003,#N/A N/A,#N/A N/A,20041201,20041201,31/03/1998,0.166,#N/A N/A,19980519,19980519,30/06/2007,0.319,0.173,20070801,20070801,30/06/2004,-0.002,#N/A N/A,20040720,20040720,01/02/1998,0.038,#N/A N/A,19980319,19980319,31/03/1998,0.17,#N/A N/A,19980602,19980602,30/06/2011,0.173,#N/A N/A,20120829,20120829,31/07/1998,0.1,0,19980917,19980917,16/05/2010,-0.017,#N/A N/A,20110627,20110627,30/06/2009,-0.5,#N/A N/A,20090701,20090701,30/06/1998,0.185,#N/A N/A,19980730,19980730,30/06/1998,0.118,0,19980901,19980901,30/06/1998,0.43,0,19980803,19980803,30/06/2002,0.246,#N/A N/A,20020829,20020829,31/03/1998,0.893,0.756,19980507,19980507,30/06/2005,0.78,0.78,20060202,20060202,30/06/2005,2.715,2.715,20060202,20060202,30/06/2005,0.05,#N/A N/A,20050728,20050728,30/06/1998,0.326,0.326,19980910,19980910,30/06/2005,0.002,0,20060901,20060901,30/06/1998,0.072,0.072,19980827,19980827,30/06/1998,#N/A N/A,#N/A N/A,19980806,19980806,30/06/1998,0.056,0,19980819,19980819,07/03/1998,0.104,#N/A N/A,19980506,19980506,30/06/2001,0.105,0,20010831,20010831,31/03/1998,0.015,0.015,19980513,19980513,30/06/1998,0.148,#N/A N/A,19990202,19990202,30/06/2017,0.169,#N/A N/A,20180807,20180807,02/05/1998,0.024,#N/A N/A,19980716,19980716,31/01/1998,0.197,0.197,19980318,19980318,27/06/1998,0.074,0.074,19980811,19980811,30/06/1998,0.066,0.162,19980910,19980910,30/09/1999,0.175,0.175,19991117,19991117,30/06/1998,0.213,0.206,19980805,19980805,30/06/1998,0.057,0.057,19980918,19980918,31/03/1998,0.675,#N/A N/A,19980609,19980609,28/02/1998,0.069,#N/A N/A,19980421,19980421,31/03/2015,-0.48,-0.371,20150513,20150513,30/06/1998,0.063,0,19980908,19980908,30/06/2002,2.836,#N/A N/A,20020731,20020731,31/03/1998,0.42,#N/A N/A,19980528,19980528,31/03/1998,#N/A N/A,#N/A N/A,19980602,19980602,30/06/1998,0.084,0,19980817,19980817,28/02/1998,0.384,#N/A N/A,19980506,19980506
2,31/12/1999,0.71,#N/A N/A,20000322,20000322,12/09/1998,0.151,#N/A N/A,19981102,19981102,31/12/2004,0.203,0,20050321,20050321,31/10/1998,0.055,0.055,19990118,19990118,31/12/1998,0.015,0.017,19990316,19990316,29/03/2015,0.001,#N/A N/A,20150619,20150619,31/12/1998,-0.25,#N/A N/A,19990224,19990224,31/03/2001,0.039,#N/A N/A,20010523,20010523,31/12/1999,0.175,#N/A N/A,20000224,20000224,31/12/1998,0.097,#N/A N/A,#N/A N/A,#N/A N/A,31/12/1998,0.065,#N/A N/A,19990216,19990216,31/12/1999,0.072,#N/A N/A,20000307,20000307,31/12/1998,0.08,0,19990405,19990405,31/12/1998,0.073,#N/A N/A,19990301,19990301,31/10/1998,0.29,0,19981208,19981208,30/09/1998,0.067,#N/A N/A,19981207,19981207,31/12/1998,0.09,#N/A N/A,19990308,19990308,30/06/2010,-0.59,#N/A N/A,20100727,20100727,31/03/2003,0.073,0.072,20030522,20030522,30/09/2002,#N/A N/A,#N/A N/A,20021107,20021107,31/12/2012,0.272,#N/A N/A,20130503,20130503,30/11/2009,1.609,#N/A N/A,20091218,20091218,30/06/1999,0.04,0.054,19990909,19990909,30/09/2001,0.041,0.059,20011211,20011211,31/12/1998,0.011,#N/A N/A,19990323,19990323,31/12/1998,0.477,0.477,19990302,19990302,30/09/1998,#N/A N/A,#N/A N/A,19991108,19991108,30/06/1999,0.082,0.139,19990916,19990916,31/12/2011,0.071,#N/A N/A,20121001,20121001,31/12/2010,#N/A N/A,#N/A N/A,20111107,20111107,31/03/2006,0.31,#N/A N/A,20061121,20061121,31/07/1998,1.163,#N/A N/A,19981020,19981020,31/12/2001,0.053,0.053,20020219,20020219,31/12/2008,-0.018,-0.018,20090223,20090223,30/06/2008,#N/A N/A,#N/A N/A,20100127,20100127,30/06/2003,0.431,#N/A N/A,20040727,20040727,30/06/2006,-0.006,#N/A N/A,20060903,20060903,03/10/1998,0.037,0.037,19981215,19981215,31/12/1998,0.207,0,19990222,19990222,31/12/1998,0.062,#N/A N/A,19990517,19990517,30/06/2010,-0.305,#N/A N/A,20110729,20110729,31/12/2003,-0.087,0.386,20040311,20040311,30/09/1998,0.088,0,19981126,19981126,26/09/1998,0.218,#N/A N/A,19981130,19981130,31/12/1999,0.042,#N/A N/A,20000320,20000320,31/12/2002,0.119,0.142,20030310,20030310,31/03/2003,-0.015,#N/A N/A,20030520,20030520,31/03/2000,0.004,#N/A N/A,20000614,20000614,31/12/2014,0.085,0.021,20150317,20150317,30/09/1998,0.259,0.204,19981125,19981125,01/08/1998,0.148,0.119,19980916,19980916,30/09/1998,0.2,#N/A N/A,19981118,19981118,31/12/1998,0.076,#N/A N/A,19990225,19990225,31/12/1998,0.11,#N/A N/A,19990212,19990212,31/03/2002,0.087,0.087,20020523,20020523,31/10/2004,0.083,0.083,20051031,20051031,26/09/1998,0.056,0.081,19981103,19981103,31/12/2007,0.135,0.135,20080228,20080228,30/06/2005,0.005,#N/A N/A,20050927,20050927,06/08/1999,0.032,0,19991002,19991002,30/09/1998,0.118,0.113,19981124,19981124,31/12/2011,0.158,#N/A N/A,20130226,20130226,30/01/1999,0.24,#N/A N/A,19990324,19990324,28/11/2010,-0.001,#N/A N/A,20110714,20110714,31/12/2009,0.763,#N/A N/A,20100416,20100416,30/06/1999,0.135,#N/A N/A,19990729,19990729,31/12/1998,0.133,#N/A N/A,19990308,19990308,31/12/1998,0.241,#N/A N/A,19990310,19990310,31/12/2002,0.334,#N/A N/A,20030219,20030219,30/09/1998,1.156,#N/A N/A,19981203,19981203,30/12/2005,3.79,3.79,20060202,20060202,30/12/2005,3.79,3.79,20060202,20060202,31/12/2005,0.14,#N/A N/A,20060216,20060216,31/12/1998,#N/A N/A,#N/A N/A,19990225,19990225,31/12/2005,0.001,#N/A N/A,20060208,20060208,31/12/1998,0.1,#N/A N/A,19990304,19990304,30/06/1999,0.528,0.528,19990805,19990805,31/12/1998,0.07,#N/A N/A,19990302,19990302,19/09/1998,0.157,0.163,19981028,19981028,31/12/2001,-0.175,0,20020314,20020314,30/09/1998,0.015,#N/A N/A,19981209,19981209,31/12/1998,0.177,#N/A N/A,19990426,19990426,31/12/2017,0.171,#N/A N/A,20180807,20180807,31/10/1998,0.031,0.025,19981209,19981209,01/08/1998,0.28,#N/A N/A,19981014,19981014,31/12/1998,0.067,#N/A N/A,19990225,19990225,31/12/1998,0.148,#N/A N/A,19990315,19990315,31/03/2000,0.3,#N/A N/A,20000531,20000531,31/12/1998,0.266,#N/A N/A,19990224,19990224,31/12/1998,0.09,#N/A N/A,19990318,19990318,30/09/1998,0.675,0.69,19981124,19981124,15/08/1998,0.035,0,19980922,19980922,30/09/2015,0.937,1.351,20151210,20151210,31/12/1998,0.068,#N/A N/A,19990316,19990316,31/12/2002,0.36,#N/A N/A,20030213,20030213,30/09/1998,0.409,0.431,19981120,19981120,30/09/1998,#N/A N/A,0,19981117,19981117,31/12/1998,0.12,#N/A N/A,19990217,19990217,29/08/1998,0.415,0.453,19981028,19981028
3,30/06/2000,0.85,0.62,20000908,20000908,27/02/1999,0.058,0.14,19990419,19990419,30/06/2005,0.152,0,20050906,20050906,30/04/1999,0.058,#N/A N/A,19990712,19990712,30/06/1999,0.016,0.016,19990916,19990916,27/09/2015,0.06,0.061,20151113,20151113,30/06/1999,0.116,0,19990811,19990811,30/09/2001,0.016,0.016,20011108,20011108,30/06/2000,0.87,#N/A N/A,20000801,20000801,30/06/1999,0.045,0,19990916,19990916,30/06/1999,0.104,0.122,19990805,19990805,30/06/2000,0.124,#N/A N/A,20000801,20000801,30/06/1999,0.138,#N/A N/A,19990922,19990922,30/06/1999,0.098,#N/A N/A,19990907,19990907,30/04/1999,0.325,#N/A N/A,19990629,19990629,31/03/1999,0.017,#N/A N/A,19990607,19990607,30/06/1999,0.129,0,19990831,19990831,31/12/2010,0.392,#N/A N/A,20110201,20110201,30/09/2003,0.085,0.085,20031118,20031118,30/09/2003,#N/A N/A,#N/A N/A,20031113,20031113,28/06/2013,0.18,0.305,20130808,20130808,31/05/2010,0.54,0.54,20100622,20100622,31/12/1999,0.003,#N/A N/A,20000224,20000224,31/03/2002,0.022,0.027,20020521,20020521,30/06/1999,0.06,0.099,19990803,19990803,30/06/1999,0.327,0.327,19990831,19990831,31/03/1999,0.243,#N/A N/A,19990510,19990510,31/12/1999,0.13,0,20000223,20000223,30/06/2012,0.055,#N/A N/A,20121001,20121001,30/06/2011,#N/A N/A,0.035,20111107,20111107,30/09/2006,0.251,0.339,20061121,20061121,31/01/1999,#N/A N/A,1.196,19990316,19990316,30/06/2002,0.101,0.101,20020723,20020723,30/06/2009,0.169,0.159,20090817,20090817,31/12/2008,#N/A N/A,#N/A N/A,20110414,20110414,30/06/2004,0.369,0,20040727,20040727,31/12/2006,#N/A N/A,#N/A N/A,20070212,20070212,03/04/1999,0.042,#N/A N/A,19990622,19990622,30/06/1999,0.288,0.288,19990802,19990802,30/06/1999,0.012,0.012,19990930,19990930,31/12/2010,0.402,#N/A N/A,20110224,20110224,30/06/2004,0.723,0.272,20040909,20040909,31/03/1999,0.056,0,19990527,19990527,27/03/1999,0.22,#N/A N/A,19990511,19990511,30/06/2000,0.067,0,20000829,20000829,30/06/2003,0.17,0.137,20030904,20030904,30/06/2004,0.008,0.014,20040909,20040909,30/09/2000,0.007,0.007,20001129,20001129,30/06/2015,0.017,0.026,20150804,20150804,31/03/1999,0.2,#N/A N/A,19990610,19990610,30/01/1999,0.251,#N/A N/A,19990317,19990317,31/03/1999,0.206,#N/A N/A,19990526,19990526,30/06/1999,0.048,0,19990722,19990722,30/06/1999,0.12,0,19990730,19990730,30/09/2002,0.102,0.097,20021107,20021107,30/04/2005,0.089,0.045,20050701,20050701,31/03/1999,0.068,#N/A N/A,19990518,19990518,30/06/2008,0.171,0.248,20080730,20080730,31/12/2005,-0.008,#N/A N/A,20060316,20060316,30/01/2000,0.043,#N/A N/A,20000316,20000316,31/03/1999,0.574,#N/A N/A,19990525,19990525,30/06/2012,0.172,0.172,20120829,20120829,31/07/1999,0.135,0.135,19990915,19990915,15/05/2011,0.004,0.004,20110627,20110627,30/06/2010,1.011,#N/A N/A,20100827,20100827,30/06/2000,0.236,#N/A N/A,20000727,20000727,30/06/1999,0.139,0.139,19990831,19990831,30/06/1999,-0.059,0,19990802,19990802,30/06/2003,0.281,0.281,20030829,20030829,31/03/1999,1.058,1.058,19990505,19990505,30/06/2006,1.06,1.06,20060727,20060727,30/06/2006,1.06,1.06,20060727,20060727,30/06/2006,0.086,#N/A N/A,20060727,20060727,30/06/1999,0.308,0.308,19990729,19990729,30/06/2006,0,0,20060901,20060901,30/06/1999,0.082,0.082,19990826,19990826,31/12/1999,-0.311,#N/A N/A,20000302,20000302,30/06/1999,0.062,0,19990818,19990818,03/04/1999,0.157,#N/A N/A,19990602,19990602,30/06/2002,0.044,0,20020903,20020903,31/03/1999,0.021,0,19990511,19990511,30/06/1999,0.204,#N/A N/A,19990929,19990929,30/06/2018,0.072,#N/A N/A,20180807,20180807,01/05/1999,-0.017,#N/A N/A,19990629,19990629,31/01/1999,0.22,0,19990317,19990317,03/07/1999,0.105,0.086,19990809,19990809,30/06/1999,0.153,0.153,19990909,19990909,30/09/2000,0.184,0.194,20001115,20001115,30/06/1999,0.222,0.222,19990804,19990804,30/06/1999,0.066,0.063,19990922,19990922,31/03/1999,0.66,#N/A N/A,19990608,19990608,27/02/1999,0.056,#N/A N/A,19990413,19990413,31/03/2016,-0.77,-0.771,20160511,20160511,30/06/1999,0.062,0,19990907,19990907,30/06/2003,3.295,#N/A N/A,20030730,20030730,31/03/1999,0.45,#N/A N/A,19990527,19990527,31/03/1999,0.053,#N/A N/A,19990608,19990608,30/06/1999,0.1,0,19990816,19990816,31/03/1999,0.218,#N/A N/A,19990531,19990531
